iteration,rss,elapsed_time,benchmark,tool,trial_id
5,1534108,3341,tradesoap,galette,1047
6,1536604,3266,tradesoap,galette,1047
7,1538224,3006,tradesoap,galette,1047
8,1539640,2937,tradesoap,galette,1047
9,1562164,3235,tradesoap,galette,1047
5,317212,6487,avrora,phosphor,147
6,317376,7120,avrora,phosphor,147
7,314684,6901,avrora,phosphor,147
8,314708,5339,avrora,phosphor,147
9,327116,6087,avrora,phosphor,147
5,427592,31389,luindex,galette,200
6,413868,46128,luindex,galette,200
7,421836,61603,luindex,galette,200
8,404408,49494,luindex,galette,200
9,429704,48446,luindex,galette,200
5,322788,5609,avrora,phosphor,567
6,320616,5325,avrora,phosphor,567
7,321024,5799,avrora,phosphor,567
8,323136,5505,avrora,phosphor,567
9,323308,5630,avrora,phosphor,567
5,297092,981,fop,galette,193
6,299728,1047,fop,galette,193
7,301548,756,fop,galette,193
8,301804,591,fop,galette,193
9,302508,976,fop,galette,193
5,127700,2314,avrora,none,756
6,171096,2104,avrora,none,756
7,124232,2261,avrora,none,756
8,118200,2097,avrora,none,756
9,155632,2110,avrora,none,756
5,1496556,97577,tomcat,mirror-taint,1150
6,1143312,21559,tomcat,mirror-taint,1150
7,1292508,21456,tomcat,mirror-taint,1150
8,1137616,21894,tomcat,mirror-taint,1150
9,1246956,20687,tomcat,mirror-taint,1150
5,331536,22908,eclipse,none,927
6,331688,20619,eclipse,none,927
7,332392,44252,eclipse,none,927
8,332436,49161,eclipse,none,927
9,325608,40026,eclipse,none,927
5,521000,2381,lusearch,galette,1125
6,528052,2239,lusearch,galette,1125
7,667668,2575,lusearch,galette,1125
8,672204,2698,lusearch,galette,1125
9,803372,2562,lusearch,galette,1125
5,777608,638974,lusearch,mirror-taint,1482
6,808708,632245,lusearch,mirror-taint,1482
7,774960,623746,lusearch,mirror-taint,1482
8,841548,650943,lusearch,mirror-taint,1482
9,776036,614369,lusearch,mirror-taint,1482
5,423444,5297,luindex,galette,1544
6,454316,5524,luindex,galette,1544
7,454472,5421,luindex,galette,1544
8,453588,5477,luindex,galette,1544
9,428324,5243,luindex,galette,1544
5,829552,2960,graphchi,galette,1286
6,838164,3046,graphchi,galette,1286
7,716624,2997,graphchi,galette,1286
8,791020,2932,graphchi,galette,1286
9,819908,2926,graphchi,galette,1286
5,879524,28782,eclipse,galette,1032
6,887100,49046,eclipse,galette,1032
7,893596,43536,eclipse,galette,1032
8,895072,42688,eclipse,galette,1032
9,896444,39139,eclipse,galette,1032
5,1098168,605,spring,phosphor,833
6,1101132,621,spring,phosphor,833
7,1102424,625,spring,phosphor,833
8,1104508,557,spring,phosphor,833
9,1105188,546,spring,phosphor,833
5,1376376,7821046,sunflow,mirror-taint,141
6,1385812,7807347,sunflow,mirror-taint,141
7,1416724,7846089,sunflow,mirror-taint,141
8,1542104,7928066,sunflow,mirror-taint,141
9,1349380,7837088,sunflow,mirror-taint,141
5,420628,553,graphchi,none,1601
6,425576,524,graphchi,none,1601
7,396996,517,graphchi,none,1601
8,396912,482,graphchi,none,1601
9,407068,457,graphchi,none,1601
5,669528,445,tradesoap,none,942
6,669340,413,tradesoap,none,942
7,669740,413,tradesoap,none,942
8,671896,449,tradesoap,none,942
9,672020,348,tradesoap,none,942
5,793420,733450,lusearch,mirror-taint,1146
6,758484,667197,lusearch,mirror-taint,1146
7,791680,736008,lusearch,mirror-taint,1146
8,881008,676606,lusearch,mirror-taint,1146
9,820788,656197,lusearch,mirror-taint,1146
5,312768,7040,avrora,phosphor,1155
6,313156,6428,avrora,phosphor,1155
7,313580,6591,avrora,phosphor,1155
8,313920,6163,avrora,phosphor,1155
9,315320,6360,avrora,phosphor,1155
5,378156,4029,sunflow,galette,36
6,381576,4030,sunflow,galette,36
7,415516,4065,sunflow,galette,36
8,409816,3986,sunflow,galette,36
9,386140,3982,sunflow,galette,36
5,689828,10040,h2o,galette,28
6,645100,9987,h2o,galette,28
7,665496,10007,h2o,galette,28
8,659188,10011,h2o,galette,28
9,695288,9841,h2o,galette,28
5,716152,633,h2,galette,111
6,717604,602,h2,galette,111
7,724772,522,h2,galette,111
8,770212,683,h2,galette,111
9,728148,742,h2,galette,111
5,589272,7443,graphchi,phosphor,68
6,589788,7177,graphchi,phosphor,68
7,588492,7417,graphchi,phosphor,68
8,591836,7421,graphchi,phosphor,68
9,591880,7217,graphchi,phosphor,68
5,130732,2485,avrora,none,1428
6,115956,2572,avrora,none,1428
7,116424,2692,avrora,none,1428
8,168000,2726,avrora,none,1428
9,116540,2386,avrora,none,1428
5,3983728,1420483,zxing,mirror-taint,230
6,4371176,1400784,zxing,mirror-taint,230
7,4941920,1387587,zxing,mirror-taint,230
8,4165588,1406268,zxing,mirror-taint,230
9,4027464,1369044,zxing,mirror-taint,230
5,4675068,1292702,zxing,mirror-taint,1070
6,4956552,1299081,zxing,mirror-taint,1070
7,3559668,1379412,zxing,mirror-taint,1070
8,4483788,1305043,zxing,mirror-taint,1070
9,4339480,1304788,zxing,mirror-taint,1070
5,518356,4684,jme,phosphor,1247
6,527572,4441,jme,phosphor,1247
7,534444,4518,jme,phosphor,1247
8,570004,4030,jme,phosphor,1247
9,595180,4851,jme,phosphor,1247
5,942608,116343,h2,mirror-taint,1392
6,727604,114848,h2,mirror-taint,1392
7,826128,119412,h2,mirror-taint,1392
8,728776,116099,h2,mirror-taint,1392
9,826684,118416,h2,mirror-taint,1392
5,2610928,4240,jython,galette,1626
6,2964668,4441,jython,galette,1626
7,3123244,3650,jython,galette,1626
8,3373000,3851,jython,galette,1626
9,3426648,3321,jython,galette,1626
5,1101128,527,spring,phosphor,1337
6,1102884,531,spring,phosphor,1337
7,1108140,597,spring,phosphor,1337
8,1111208,514,spring,phosphor,1337
9,1118848,455,spring,phosphor,1337
5,827016,371265,biojava,mirror-taint,212
6,839140,379738,biojava,mirror-taint,212
7,806004,393125,biojava,mirror-taint,212
8,858492,396236,biojava,mirror-taint,212
9,856292,398047,biojava,mirror-taint,212
5,212968,691,xalan,galette,460
6,235520,667,xalan,galette,460
7,255096,535,xalan,galette,460
8,269832,519,xalan,galette,460
9,263884,486,xalan,galette,460
5,387036,474,h2o,none,931
6,362348,564,h2o,none,931
7,375676,494,h2o,none,931
8,363768,1082,h2o,none,931
9,385196,516,h2o,none,931
5,216412,4233,avrora,galette,1617
6,214216,4669,avrora,galette,1617
7,294916,4519,avrora,galette,1617
8,263276,4074,avrora,galette,1617
9,219784,4055,avrora,galette,1617
5,854396,3295,graphchi,galette,950
6,1402920,3298,graphchi,galette,950
7,880512,3098,graphchi,galette,950
8,788380,3143,graphchi,galette,950
9,938264,3212,graphchi,galette,950
5,428936,5250,luindex,galette,116
6,404804,5287,luindex,galette,116
7,405268,5205,luindex,galette,116
8,431584,5227,luindex,galette,116
9,408016,5280,luindex,galette,116
5,292000,18695,eclipse,none,1179
6,294664,21166,eclipse,none,1179
7,282384,35643,eclipse,none,1179
8,282560,36751,eclipse,none,1179
9,283004,37997,eclipse,none,1179
5,2241092,905077,batik,mirror-taint,1303
6,2256080,877633,batik,mirror-taint,1303
7,2592192,863274,batik,mirror-taint,1303
8,2346684,857508,batik,mirror-taint,1303
9,3151248,851346,batik,mirror-taint,1303
5,731416,878,h2,galette,531
6,745672,767,h2,galette,531
7,751916,946,h2,galette,531
8,794748,831,h2,galette,531
9,792564,742,h2,galette,531
5,568440,6882,jme,phosphor,995
6,606080,7176,jme,phosphor,995
7,643760,6738,jme,phosphor,995
8,650984,5256,jme,phosphor,995
9,656624,5047,jme,phosphor,995
5,320500,4215,eclipse,none,1263
6,321784,13714,eclipse,none,1263
7,322824,17530,eclipse,none,1263
8,322912,16446,eclipse,none,1263
9,323256,35650,eclipse,none,1263
5,2504592,1387475,avrora,mirror-taint,126
6,2231520,1387982,avrora,mirror-taint,126
7,2239356,1406455,avrora,mirror-taint,126
8,2268028,1385795,avrora,mirror-taint,126
9,2198196,1431965,avrora,mirror-taint,126
5,438020,566,graphchi,none,173
6,402156,507,graphchi,none,173
7,381048,463,graphchi,none,173
